代号,股数,价格,变更$,变更%,市值,单位成本,成本,益损$,益损%
ALM,413,9.49,+0.05,+0.53,3919.37,6.98223,2883.66,+1035.71,+35.92
AREC,2251,2.70,-0.02,-0.74,6077.70,3.07819,6929.00,-851.30,-12.29
BLNK,500,0.69,-0.0311,-4.31,345.00,0.78,390.00,-45.00,-11.54
BTDR,135,10.79,-0.70,-6.09,1456.65,20.20,2727.00,-1270.35,-46.58
CRML,1500,7.76,-0.50,-6.05,11640.00,9.22605,13839.07,-2199.07,-15.89
D,40,59.20,+0.19,+0.32,2368.00,58.34,2333.60,+34.40,+1.47
FSM,1,10.36,+0.24,+2.37,10.36,8.00,8.00,+2.36,+29.50
IPX,110,36.90,-0.03,-0.08,4059.00,42.16136,4637.75,-578.75,-12.48
KTOS,40,77.60,-2.37,-2.96,3104.00,72.8675,2914.70,+189.30,+6.49
LTBR,1150,13.78,-0.65,-4.50,15847.00,17.74495,20406.69,-4559.69,-22.34
LXRX,501,1.24,+0.01,+0.81,621.24,1.2599,631.21,-9.97,-1.58
NB,2650,5.69,-0.41,-6.72,15078.50,7.06543,18723.38,-3644.88,-19.47
NVA,400,7.25,+0.05,+0.69,2900.00,7.82875,3131.50,-231.50,-7.39
NVAX,600,6.81,-0.13,-1.87,4086.00,7.66832,4600.99,-514.99,-11.19
OMEX,1400,2.15,-0.10,-4.44,3010.00,2.65838,3721.73,-711.73,-19.12
QS,101,10.86,-0.32,-2.86,1096.86,11.79871,1191.67,-94.81,-7.96
SLDP,501,4.47,-0.04,-0.89,2239.47,4.7203,2364.87,-125.40,-5.30
SMR,120,14.80,-1.28,-7.96,1776.00,18.17442,2180.93,-404.93,-18.57
TLT,250,87.75,-0.28,-0.32,21937.50,89.1236,22280.90,-343.40,-1.54
UEC,151,12.20,-0.19,-1.53,1842.20,12.38318,1869.86,-27.66,-1.48
URG,3100,1.38,-0.04,-2.82,4278.00,1.54748,4797.20,-519.20,-10.82
UUUU,90,14.66,-0.44,-2.91,1319.40,16.15556,1454.00,-134.60,-9.26
WWR,2500,0.8311,-0.0289,-3.36,2077.75,1.40356,3508.90,-1431.15,-40.79
